# Arlo U. Landolt
# UBVRI PHOTOMETRIC STANDARD STARS AROUND THE CELESTIAL EQUATOR: UPDATES AND ADDITIONS
# Astron.J.137:4186,2009
# https://arxiv.org/abs/0904.0638
#
# STAR       Star
# RA_2000    alpha (J2000.0)
# DEC_2000   delta (J2000.0)
# MAG_V      V
# MAG_BV     B-V
# MAG_UB     U-B
# MAG_VR     V-R
# MAG_RI     R-I
# MAG_VI     V-I
# NOB        number of observation
# NNI        number of nights
# ERR_V      mean error of V
# ERR_BV     mean error of B-V
# ERR_UB     mean error of U-B
# ERR_VR     mean error of V-R
# ERR_RI     mean error of R-I
# ERR_VI     mean error of V-I
FIELD_NAME      STAR	       RA_2000          DEC_2000        MAG_V    MAG_BV   MAG_UB   MAG_VR   MAG_RI   MAG_VI   NOB   NNI    ERR_V     ERR_BV    ERR_UB    ERR_VR	   ERR_RI    ERR_VI
SA95            95_74          03:55:31.141     -00:09:13.57    11.531   +1.126   +0.686   +0.600   +0.567   +1.165    40    35    0.0015    0.0013    0.0029    0.0013    0.0010    0.0013    
SA95            95_231         03:55:38.828     +00:10:43.42    14.216   +0.452   +0.297   +0.270   +0.290   +0.560    26    13    0.0043    0.0045    0.0071    0.0045    0.0053    0.0076    
SA95            95_284         03:55:41.552     +00:26:37.73    13.669   +1.398   +1.073   +0.818   +0.766   +1.586    20     9    0.0040    0.0078    0.0239    0.0027    0.0036    0.0049    
SA95            95_285         03:55:44.114     +00:25:09.96    15.561   +0.937   +0.703   +0.607   +0.602   +1.210     2     1    0.0071    0.0255    0.0636    0.0071    0.0064    0.0134    
SA95            95_149         03:55:44.444     +00:07:02.91    10.938   +1.593   +1.564   +0.874   +0.811   +1.685    17    11    0.0051    0.0039    0.0095    0.0024    0.0017    0.0029    
SA95            95_236         03:56:13.342     +00:08:47.06    11.487   +0.737   +0.168   +0.419   +0.412   +0.831    43    39    0.0004    0.0010    0.0021    0.0008    0.0004    0.0010    
SA96            96_21          04:51:15.760     -00:14:50.30    12.182   +0.490   -0.004   +0.299   +0.297   +0.598     2     1    0.0028    0.0007    0.0028    0.0057    0.0014    0.0035    
SA96            96_36          04:51:42.401     -00:10:09.47    10.589   +0.247   +0.118   +0.133   +0.137   +0.271    73    63    0.0005    0.0006    0.0011    0.0005    0.0006    0.0008    
SA96            96_737         04:52:35.366     +00:22:30.03    11.719   +1.338   +1.146   +0.735   +0.696   +1.432    62    53    0.0009    0.0010    0.0022    0.0004    0.0006    0.0007    
SA96            96_409         04:52:58.515     +00:09:04.14    13.778   +0.543   +0.042   +0.340   +0.340   +0.682     2     1    0.0106    0.0007    0.0240    0.0085    0.0049    0.0127    
SA96            96_83          04:52:58.856     -00:14:41.18    11.719   +0.181   +0.205   +0.092   +0.096   +0.189    76    65    0.0005    0.0005    0.0015    0.0005    0.0008    0.0008    
SA96            96_235         04:53:18.870     -00:05:01.54    11.138   +1.077   +0.890   +0.557   +0.509   +1.066    70    60    0.0005    0.0007    0.0012    0.0003    0.0006    0.0005    
-               G97_42         05:28:00.15      +09:38:38.3     12.443   +1.639   +1.259   +1.171   +1.485   +2.655    23    11    0.0017    0.0035    0.0186    0.0025    0.0031    0.0033    
-               G102_22        05:42:09.273     +12:29:21.60    11.509   +1.621   +1.134   +1.211   +1.590   +2.800    20    10    0.0013    0.0027    0.0074    0.0034    0.0031    0.0042    
GD_71           GD_71C         05:52:12.777     +15:52:44.30    12.325   +1.159   +0.849   +0.655   +0.628   +1.274    19    11    0.0017    0.0022    0.0057    0.0012    0.0013    0.0017    
GD_71           GD_71E         05:52:20.51      +15:52:08.1     13.634   +0.824   +0.428   +0.472   +0.423   +0.892    14     7    0.0013    0.0027    0.0082    0.0012    0.0034    0.0037    
GD_71           GD_71B         05:52:21.530     +15:52:41.61    12.599   +0.680   +0.166   +0.404   +0.399   +0.800    19    11    0.0018    0.0020    0.0026    0.0015    0.0016    0.0015    
GD_71           GD_71D         05:52:24.788     +15:54:58.01    12.898   +0.570   +0.097   +0.359   +0.363   +0.719    19    11    0.0018    0.0020    0.0038    0.0017    0.0023    0.0024    
GD_71           GD_71          05:52:27.619     +15:53:13.23    13.033   -0.248   -1.110   -0.138   -0.166   -0.304   129   115    0.0011    0.0009    0.0010    0.0009    0.0017    0.0021    
GD_71           GD_71A         05:52:33.562     +15:51:59.38    12.643   +1.176   +0.897   +0.651   +0.621   +1.265    24    12    0.0013    0.0021    0.0051    0.0009    0.0009    0.0016    
SA97            97_249         05:57:07.560     +00:01:11.50    11.735   +0.647   +0.101   +0.369   +0.354   +0.725   105    98    0.0007    0.0007    0.0011    0.0005    0.0006    0.0008    
SA97            97_345         05:57:33.181     +00:21:16.54    11.605   +1.652   +1.706   +0.929   +0.843   +1.772    30    21    0.0015    0.0014    0.0092    0.0010    0.0007    0.0013    
SA97            97_351         05:57:37.294     +00:13:43.99     9.779   +0.201   +0.092   +0.124   +0.140   +0.264   136   117    0.0005    0.0006    0.0012    0.0005    0.0006    0.0007    
SA97            97_75          05:57:55.085     -00:09:28.55    11.483   +1.872   +2.100   +1.047   +0.952   +1.999    20    12    0.0038    0.0047    0.0101    0.0029    0.0016    0.0038    
SA97            97_284         05:58:25.033     +00:05:13.57    10.787   +1.364   +1.089   +0.774   +0.726   +1.500   110   101    0.0006    0.0008    0.0020    0.0005    0.0005    0.0007    
SA97            97_224         05:58:44.042     -00:05:10.37    14.085   +0.910   +0.341   +0.553   +0.547   +1.102     2     1    0.0127    0.0177    0.0049    0.0120    0.0127    -         
SA98            98_961         06:51:26.994     -00:15:36.06    13.089   +1.283   +1.003   +0.701   +0.662   +1.362     2     1    0.0021    0.0007    0.0014    0.0021    -         0.0021    
SA98            98_966         06:51:28.304     -00:16:25.44    14.001   +0.469   +0.357   +0.283   +0.331   +0.613     2     1    0.0035    0.0014    0.0021    0.0014    0.0191    0.0205    
SA98            98_557         06:51:29.506     -00:25:06.29    14.780   +1.397   +1.072   +0.755   +0.741   +1.494     2     1    0.0007    0.0544    0.0269    0.0092    0.0297    0.0198    
SA98            98_556         06:51:29.537     -00:24:50.78    14.137   +0.338   +0.126   +0.196   +0.243   +0.437     6     3    0.0053    0.0053    0.0131    0.0057    0.0045    0.0090    
SA98            98_562         06:51:30.674     -00:18:58.70    12.185   +0.522   -0.002   +0.305   +0.303   +0.607     2     1    0.0028    0.0049    0.0035    0.0014    0.0014    -         
SA98            98_563         06:51:31.543     -00:26:25.60    14.162   +0.416   -0.190   +0.294   +0.317   +0.610    10     5    0.0051    0.0085    0.0073    0.0044    0.0079    0.0082    
SA98            98_978         06:51:33.730     -00:11:31.53    10.574   +0.609   +0.094   +0.348   +0.321   +0.669    96    88    0.0004    0.0005    0.0011    0.0003    0.0004    0.0004    
SA98            98_L1          06:51:39.022     -00:26:36.28    15.672   +1.243   +0.776   +0.730   +0.712   +1.445     3     2    0.0075    0.0462    0.0976    0.0110    0.0254    0.0318    
SA98            98_580         06:51:39.76      -00:26:41.9     14.728   +0.367   +0.303   +0.241   +0.305   +0.547     4     2    0.0255    0.0185    0.0185    0.0125    0.0460    0.0395    
SA98            98_581         06:51:39.901     -00:25:41.86    14.556   +0.238   +0.161   +0.118   +0.244   +0.361     7     3    0.0246    0.0280    0.0200    0.0193    0.0197    0.0155    
SA98            98_L2          06:51:40.52      -00:21:59.0     15.859   +1.340   +1.497   +0.754   +0.572   +1.327     1     1    -         -         -         -         -         -         
SA98            98_L3          06:51:42.24      -00:15:55.3     14.614   +1.936   +1.837   +1.091   +1.047   +2.142     4     2    0.0145    0.0265    0.1450    0.0090    0.0070    0.0110    
SA98            98_L4          06:51:42.25      -00:16:21.3     16.332   +1.344   +1.086   +0.936   +0.785   +1.726     2     2    0.0580    0.0325    0.3429    0.0205    0.0368    0.0580    
SA98            98_590         06:51:42.973     -00:22:18.91    14.642   +1.352   +0.853   +0.753   +0.747   +1.500     4     2    0.0110    0.0120    0.0525    0.0050    0.0105    0.0135    
SA98            98_1002        06:51:43.094     -00:15:52.20    14.568   +0.574   -0.027   +0.354   +0.379   +0.733     4     2    0.0055    0.0065    0.0110    0.0070    0.0125    0.0130    
SA98            98_614         06:51:48.634     -00:20:32.52    15.674   +1.063   +0.399   +0.834   +0.645   +1.480     2     1    0.0424    0.0474    0.0311    0.0226    0.0368    0.0580    
SA98            98_618         06:51:49.579     -00:21:15.75    12.723   +2.192   +2.144   +1.254   +1.151   +2.407    14     7    0.0051    0.0075    0.0307    0.0035    0.0032    0.0045    
SA98            98_624         06:51:51.798     -00:20:16.03    13.811   +0.791   +0.394   +0.417   +0.404   +0.822     2     1    0.0141    0.0240    0.0042    0.0014    0.0212    0.0198    
SA98            98_626         06:51:52.394     -00:20:43.28    14.758   +1.406   +1.067   +0.806   +0.816   +1.624     2     1    0.0071    0.0028    0.0438    0.0092    0.0205    0.0113    
SA98            98_627         06:51:53.01      -00:22:01.0     14.900   +0.689   +0.078   +0.428   +0.387   +0.817     2     1    0.0064    0.0170    0.0085    0.0007    0.0127    0.0127    
SA98            98_634         06:51:55.741     -00:20:55.11    14.608   +0.647   +0.123   +0.382   +0.372   +0.757     2     1    0.0042    0.0049    0.0127    0.0113    0.0177    0.0064    
SA98            98_642         06:51:59.018     -00:21:31.71    15.290   +0.571   +0.318   +0.302   +0.393   +0.697     2     1    0.0191    0.0453    0.0120    0.0198    0.0021    0.0177    
SA98            98_185         06:52:01.886     -00:27:21.57    10.537   +0.202   +0.114   +0.110   +0.122   +0.231    79    68    0.0010    0.0005    0.0012    0.0004    0.0006    0.0007    
SA98            98_646         06:52:02.281     -00:21:15.97    15.839   +1.060   +1.426   +0.583   +0.504   +1.090     1     1    -         -         -         -         -         -         
SA98            98_193         06:52:03.381     -00:27:18.41    10.026   +1.176   +1.152   +0.614   +0.536   +1.151    99    84    0.0005    0.0005    0.0016    0.0005    0.0004    0.0006    
SA98            98_650         06:52:04.528     -00:19:38.29    12.271   +0.157   +0.110   +0.080   +0.086   +0.166    31    20    0.0020    0.0014    0.0041    0.0016    0.0022    0.0027    
SA98            98_652         06:52:04.815     -00:21:55.63    14.817   +0.611   +0.126   +0.276   +0.339   +0.618     2     1    0.0113    0.0297    0.0177    0.0453    0.0240    0.0226    
SA98            98_653         06:52:04.954     -00:18:18.26     9.538   -0.003   -0.102   +0.010   +0.009   +0.017   114    98    0.0007    0.0003    0.0008    0.0004    0.0005    0.0007    
SA98            98_666         06:52:09.945     -00:23:32.01    12.732   +0.164   -0.004   +0.091   +0.108   +0.200    25    14    0.0034    0.0028    0.0042    0.0042    0.0030    0.0048    
SA98            98_670         06:52:11.514     -00:19:16.37    11.930   +1.357   +1.325   +0.727   +0.654   +1.381    80    66    0.0005    0.0009    0.0036    0.0004    0.0005    0.0007    
SA98            98_671         06:52:11.830     -00:18:25.30    13.385   +0.968   +0.719   +0.575   +0.494   +1.071    27    15    0.0037    0.0048    0.0108    0.0033    0.0035    0.0046    
SA98            98_675         06:52:13.341     -00:19:40.36    13.398   +1.909   +1.936   +1.082   +1.002   +2.085    44    21    0.0026    0.0035    0.0283    0.0018    0.0018    0.0024    
SA98            98_676         06:52:13.728     -00:19:20.15    13.068   +1.146   +0.666   +0.683   +0.673   +1.352    17     8    0.0032    0.0041    0.0107    0.0015    0.0218    0.0032    
SA98            98_L5          06:52:15.73      -00:19:44.4     17.800   +1.900   -0.100   +3.100   +2.600   +5.800     6     3    0.1633    0.3266    0.4491    0.1225    0.0408    0.1225    
SA98            98_682         06:52:16.504     -00:19:40.97    13.749   +0.632   +0.098   +0.366   +0.352   +0.717    13     7    0.0039    0.0039    0.0064    0.0017    0.0025    0.0039    
SA98            98_685         06:52:18.468     -00:20:19.51    11.954   +0.463   +0.096   +0.290   +0.280   +0.570    22    14    0.0030    0.0021    0.0028    0.0023    0.0021    0.0034    
SA98            98_688         06:52:18.874     -00:23:32.82    12.754   +0.293   +0.245   +0.158   +0.180   +0.337    21    11    0.0033    0.0024    0.0081    0.0037    0.0050    0.0074    
SA98            98_1082        06:52:20.184     -00:14:13.63    15.010   +0.835   -0.001   +0.485   +0.619   +1.102     3     1    0.0058    0.0139    0.0225    0.0029    0.0133    0.0162    
SA98            98_1087        06:52:21.099     -00:15:50.42    14.439   +1.595   +1.284   +0.928   +0.882   +1.812    12     5    0.0040    0.0141    0.0592    0.0035    0.0049    0.0072    
SA98            98_1102        06:52:27.949     -00:13:43.08    12.113   +0.314   +0.089   +0.193   +0.195   +0.388    15     8    0.0034    0.0026    0.0059    0.0026    0.0036    0.0052    
SA98            98_1112        06:52:34.895     -00:15:25.84    13.975   +0.814   +0.286   +0.443   +0.431   +0.874     5     2    0.0067    0.0040    0.0152    0.0054    0.0031    0.0076    
SA98            98_1119        06:52:36.710     -00:14:31.61    11.878   +0.551   +0.069   +0.312   +0.299   +0.611     7     4    0.0023    0.0038    0.0042    0.0019    0.0042    0.0045    
SA98            98_724         06:52:37.225     -00:19:20.39    11.118   +1.104   +0.904   +0.575   +0.527   +1.103    12     7    0.0035    0.0035    0.0052    0.0023    0.0023    0.0038    
SA98            98_1122        06:52:37.558     -00:17:03.70    14.090   +0.595   -0.297   +0.376   +0.442   +0.816    25    12    0.0034    0.0060    0.0074    0.0038    0.0028    0.0046    
SA98            98_1124        06:52:38.050     -00:16:33.43    13.707   +0.315   +0.258   +0.173   +0.201   +0.373    24    12    0.0035    0.0043    0.0080    0.0029    0.0051    0.0057    
SA98            98_733         06:52:40.073     -00:17:14.67    12.238   +1.285   +1.087   +0.698   +0.650   +1.347    20    10    0.0034    0.0042    0.0060    0.0029    0.0022    0.0040    
Ru149           Ru_149G        07:24:11.928     -00:31:58.11    12.829   +0.541   +0.033   +0.322   +0.322   +0.645    18    12    0.0026    0.0040    0.0042    0.0021    0.0026    0.0040    
Ru149           Ru_149A        07:24:13.216     -00:32:53.11    14.495   +0.298   +0.118   +0.196   +0.196   +0.391    18    12    0.0066    0.0052    0.0111    0.0099    0.0085    0.0139    
Ru149           Ru_149F        07:24:14.077     -00:31:38.69    13.471   +1.115   +1.025   +0.594   +0.538   +1.132    19    11    0.0028    0.0078    0.0223    0.0021    0.0023    0.0034    
Ru149           Ru_149         07:24:14.372     -00:33:04.17    13.866   -0.129   -0.779   -0.040   -0.068   -0.108    46    30    0.0022    0.0027    0.0031    0.0022    0.0062    0.0069    
Ru149           Ru_149D        07:24:15.378     -00:32:47.84    11.480   -0.037   -0.287   +0.021   +0.008   +0.029    18    11    0.0019    0.0021    0.0028    0.0012    0.0019    0.0024    
Ru149           Ru_149C        07:24:17.312     -00:32:25.78    14.425   +0.195   +0.141   +0.093   +0.127   +0.222    18    11    0.0052    0.0042    0.0111    0.0061    0.0099    0.0106    
Ru149           Ru_149B        07:24:17.572     -00:33:06.18    12.642   +0.662   +0.151   +0.374   +0.354   +0.728    15    10    0.0021    0.0034    0.0049    0.0018    0.0026    0.0028    
Ru149           Ru_149E        07:24:18.409     -00:31:18.58    13.718   +0.522   -0.007   +0.321   +0.314   +0.637    12     8    0.0064    0.0049    0.0069    0.0035    0.0066    0.0087    
Ru152           Ru_152F        07:29:53.755     -02:04:51.80    14.564   +0.635   +0.069   +0.382   +0.315   +0.689    15     8    0.0052    0.0057    0.0096    0.0067    0.0176    0.0222    
Ru152           Ru_152E        07:29:54.256     -02:05:30.83    12.362   +0.042   -0.086   +0.030   +0.034   +0.065    12     8    0.0014    0.0020    0.0020    0.0014    0.0023    0.0029    
Ru152           Ru_152         07:29:58.476     -02:06:37.59    13.017   -0.187   -1.081   -0.059   -0.088   -0.147    48    33    0.0011    0.0017    0.0023    0.0012    0.0025    0.0027    
Ru152           Ru_152B        07:29:59.241     -02:05:57.46    15.019   +0.500   +0.022   +0.290   +0.309   +0.600    23    10    0.0046    0.0088    0.0181    0.0054    0.0175    0.0211    
Ru152           Ru_152A        07:30:00.483     -02:06:22.67    14.341   +0.543   -0.085   +0.325   +0.329   +0.654    14     8    0.0061    0.0086    0.0168    0.0051    0.0094    0.0131    
Ru152           Ru_152C        07:30:02.57      -02:05:39.3     12.222   +0.573   -0.013   +0.342   +0.340   +0.683    13     9    0.0025    0.0031    0.0033    0.0022    0.0019    0.0031    
Ru152           Ru_152D        07:30:06.076     -02:04:37.51    11.076   +0.875   +0.491   +0.473   +0.449   +0.921    14    10    0.0013    0.0016    0.0024    0.0011    0.0019    0.0019    
SA99            99_6           07:53:33.338     -00:49:37.45    11.055   +1.252   +1.289   +0.650   +0.577   +1.227    49    38    0.0005    0.0010    0.0021    0.0005    0.0004    0.0007    
SA99            99_367         07:54:11.855     -00:25:35.18    11.152   +1.005   +0.832   +0.531   +0.477   +1.007    54    44    0.0007    0.0009    0.0017    0.0004    0.0005    0.0007    
SA99            99_408         07:55:13.012     -00:25:32.85     9.807   +0.402   +0.038   +0.253   +0.247   +0.500    57    46    0.0007    0.0006    0.0008    0.0006    0.0002    0.0007    
SA99            99_438         07:55:54.270     -00:16:49.08     9.397   -0.156   -0.729   -0.060   -0.081   -0.142   148   130    0.0010    0.0005    0.0010    0.0004    0.0005    0.0006    
SA99            99_447         07:56:06.686     -00:20:42.37     9.419   -0.068   -0.220   -0.031   -0.041   -0.073   108    97    0.0006    0.0005    0.0008    0.0004    0.0004    0.0006    
SA100           100_241        08:52:34.049     -00:39:48.96    10.140   +0.157   +0.106   +0.078   +0.085   +0.162    67    57    0.0006    0.0005    0.0009    0.0004    0.0004    0.0004    
SA100           100_162        08:53:14.418     -00:43:30.35     9.150   +1.276   +1.495   +0.649   +0.552   +1.202    86    67    0.0009    0.0008    0.0012    0.0004    0.0006    0.0006    
SA100           100_267        08:53:17.212     -00:41:29.35    13.027   +0.485   -0.062   +0.307   +0.302   +0.608     3     3    0.0069    0.0023    0.0133    0.0075    0.0040    0.0040    
SA100           100_269        08:53:18.464     -00:41:09.81    12.350   +0.547   -0.040   +0.335   +0.331   +0.666     3     3    0.0035    0.0029    0.0150    0.0035    0.0029    0.0017    
SA100           100_280        08:53:35.477     -00:36:41.16    11.799   +0.493   -0.001   +0.295   +0.291   +0.588    72    61    0.0007    0.0007    0.0010    0.0006    0.0006    0.0009    
SA100           100_394        08:53:54.515     -00:32:22.08    11.384   +1.317   +1.457   +0.705   +0.636   +1.341     9     5    0.0080    0.0040    0.0087    0.0023    0.0027    0.0030    
PG0918+029      PG0918+029D    09:21:21.936     +02:47:28.28    12.272   +1.044   +0.821   +0.575   +0.535   +1.108    19    11    0.0021    0.0030    0.0071    0.0016    0.0018    0.0018    
PG0918+029      PG0918+029     09:21:28.217     +02:46:02.27    13.327   -0.271   -1.081   -0.129   -0.159   -0.288    45    27    0.0024    0.0024    0.0030    0.0019    0.0055    0.0063    
PG0918+029      PG0918+029B    09:21:32.924     +02:47:59.08    13.963   +0.765   +0.366   +0.417   +0.370   +0.787    20    11    0.0034    0.0072    0.0159    0.0025    0.0045    0.0056    
PG0918+029      PG0918+029A    09:21:35.107     +02:46:19.43    14.490   +0.536   -0.032   +0.325   +0.336   +0.661    29    14    0.0033    0.0058    0.0095    0.0039    0.0076    0.0085    
PG0918+029      PG0918+029C    09:21:42.306     +02:46:37.07    13.537   +0.631   +0.087   +0.367   +0.357   +0.722    21    10    0.0020    0.0028    0.0048    0.0015    0.0022    0.0028    
-               BD_-12_2918    09:31:19.37      -13:29:19.3     10.067   +1.501   +1.166   +1.067   +1.318   +2.385    13     9    0.0025    0.0028    0.0075    0.0039    0.0022    0.0042    
PG0942-029      PG0942-029D    09:45:08.637     -03:05:54.45    13.683   +0.576   +0.064   +0.341   +0.329   +0.668    13     8    0.0009    0.0029    0.0054    0.0015    0.0039    0.0044    
PG0942-029      PG0942-029A    09:45:09.90      -03:10:14.2     14.738   +0.888   +0.552   +0.563   +0.474   +1.035    16     8    0.0021    0.0021    0.0065    0.0023    0.0041    0.0050    
PG0942-029      PG0942-029B    09:45:11.574     -03:06:58.11    14.105   +0.573   +0.014   +0.353   +0.341   +0.693    13     8    0.0022    0.0014    0.0043    0.0018    0.0036    0.0041    
PG0942-029      PG0942-029     09:45:11.85      -03:09:21.0     14.012   -0.298   -1.177   -0.132   -0.165   -0.296    21    13    0.0022    0.0025    0.0031    0.0026    0.0058    0.0067    
PG0942-029      PG0942-029C    09:45:14.386     -03:06:40.28    14.950   +0.803   +0.338   +0.488   +0.395   +0.884    16     8    0.0024    0.0024    0.0049    0.0021    0.0045    0.0053    
SA101           101_315        09:54:51.298     -00:27:31.09    11.249   +1.153   +1.056   +0.612   +0.559   +1.172    19    11    0.0037    0.0018    0.0067    0.0016    0.0011    0.0021    
SA101           101_316        09:54:52.034     -00:18:34.51    11.552   +0.493   +0.032   +0.293   +0.291   +0.584    17    10    0.0027    0.0024    0.0036    0.0019    0.0029    0.0032    
SA101           101_L1         09:55:29.09      -00:21:42.6     16.501   +0.757   -0.104   +0.421   +0.527   +0.947     4     1    0.0310    0.0340    0.0290    0.0225    0.0855    0.1070    
SA101           101_320        09:55:32.924     -00:22:32.72    13.823   +1.052   +0.690   +0.581   +0.561   +1.141    11     7    0.0048    0.0103    0.0181    0.0039    0.0036    0.0045    
SA101           101_L2         09:55:34.688     -00:18:50.10    15.770   +0.602   +0.082   +0.321   +0.304   +0.625     1     1    -         -         -         -         -         -         
SA101           101_404        09:55:40.673     -00:18:22.23    13.459   +0.996   +0.697   +0.530   +0.500   +1.029    12     7    0.0040    0.0078    0.0095    0.0049    0.0032    0.0055    
SA101           101_324        09:55:56.650     -00:23:15.10     9.737   +1.161   +1.145   +0.591   +0.519   +1.109    60    47    0.0005    0.0008    0.0018    0.0006    0.0007    0.0010    
SA101           101_408        09:56:08.001     -00:12:41.28    14.785   +1.200   +1.347   +0.718   +0.603   +1.321     2     1    0.0240    0.0438    0.0170    0.0170    0.0120    0.0297    
SA101           101_262        09:56:08.096     -00:29:50.50    14.295   +0.784   +0.297   +0.440   +0.387   +0.827     4     2    0.0045    0.0160    0.0205    0.0075    0.0100    0.0035    
SA101           101_326        09:56:08.101     -00:27:10.94    14.923   +0.729   +0.227   +0.406   +0.375   +0.780    13     6    0.0078    0.0094    0.0128    0.0055    0.0111    0.0122    
SA101           101_327        09:56:08.86      -00:25:53.5     13.441   +1.155   +1.139   +0.717   +0.574   +1.290    28    15    0.0032    0.0057    0.0098    0.0023    0.0017    0.0028    
SA101           101_410        09:56:09.136     -00:14:02.23    13.646   +0.546   -0.063   +0.298   +0.326   +0.623     2     1    0.0085    0.0014    0.0021    0.0106    0.0035    0.0064    
SA101           101_413        09:56:14.009     -00:11:54.86    12.583   +0.983   +0.716   +0.529   +0.497   +1.025     9     6    0.0023    0.0047    0.0103    0.0033    0.0040    0.0040    
SA101           101_268        09:56:17.377     -00:31:57.05    14.380   +1.531   +1.381   +1.040   +1.200   +2.237    11     5    0.0078    0.0199    0.0769    0.0048    0.0036    0.0045    
SA101           101_330        09:56:20.587     -00:27:22.12    13.723   +0.577   -0.026   +0.346   +0.338   +0.684    28    14    0.0038    0.0038    0.0051    0.0028    0.0057    0.0064    
SA101           101_415        09:56:23.145     -00:16:53.02    15.259   +0.577   -0.008   +0.346   +0.350   +0.695     2     1    0.0028    0.0247    0.0021    0.0198    0.0134    0.0332    
SA101           101_270        09:56:27.023     -00:35:44.15    13.711   +0.554   +0.055   +0.332   +0.306   +0.637     2     1    -         0.0014    0.0127    0.0049    0.0071    0.0014    
SA101           101_278        09:56:54.467     -00:29:38.39    15.494   +1.041   +0.737   +0.596   +0.548   +1.144     2     1    0.0184    0.0226    0.0269    0.0198    0.0148    0.0346    
SA101           101_L3         09:56:55.025     -00:30:25.47    15.953   +0.637   -0.033   +0.396   +0.395   +0.792     2     1    0.0233    0.0184    0.0707    0.0382    0.0488    0.0870    
SA101           101_281        09:57:05.02      -00:31:43.2     11.576   +0.812   +0.415   +0.453   +0.412   +0.864    23    15    0.0023    0.0013    0.0031    0.0013    0.0009    0.0013    
SA101           101_L4         09:57:07.76      -00:31:24.4     16.264   +0.793   +0.362   +0.578   +0.062   +0.644     2     1    0.0170    0.0141    0.0014    0.0191    0.2638    0.2807    
SA101           101_L5         09:57:10.21      -00:30:40.3     15.928   +0.622   +0.115   +0.414   +0.305   +0.720     2     1    0.0106    0.0283    0.0863    0.0078    0.0134    0.0212    
SA101           101_421        09:57:16.107     -00:17:18.20    13.180   +0.507   -0.031   +0.327   +0.296   +0.623     2     1    0.0021    0.0021    0.0035    0.0021    0.0007    0.0014    
SA101           101_338        09:57:17.754     -00:21:00.34    13.788   +0.634   +0.024   +0.350   +0.340   +0.691     2     1    0.0071    0.0071    0.0042    0.0021    0.0035    0.0014    
SA101           101_339        09:57:18.389     -00:25:01.80    14.449   +0.850   +0.501   +0.458   +0.398   +0.857     2     1    0.0099    0.0085    0.0099    0.0240    0.0042    0.0290    
SA101           101_424        09:57:20.263     -00:16:25.88    15.058   +0.764   +0.273   +0.429   +0.425   +0.855     2     1    0.0276    0.0389    0.0191    0.0226    0.0205    0.0431    
SA101           101_427        09:57:26.429     -00:17:16.96    14.964   +0.805   +0.321   +0.484   +0.369   +0.854     2     1    0.0269    0.0297    0.0014    0.0247    0.0113    0.0368    
SA101           101_341        09:57:29.828     -00:21:53.80    14.342   +0.575   +0.059   +0.332   +0.309   +0.641     2     1    0.0113    0.0141    0.0071    0.0007    0.0078    0.0071    
SA101           101_342        09:57:31.21      -00:21:50.9     15.556   +0.529   -0.065   +0.339   +0.419   +0.758     2     1    0.0141    0.0085    0.0085    0.0240    0.0021    0.0226    
SA101           101_343        09:57:31.301     -00:22:55.34    15.504   +0.606   +0.094   +0.396   +0.338   +0.734     2     1    0.0276    0.0488    0.0177    0.0226    0.0255    0.0481    
SA101           101_429        09:57:31.73      -00:18:15.2     13.496   +0.980   +0.782   +0.617   +0.526   +1.143    23    13    0.0039    0.0019    0.0060    0.0017    0.0020    0.0030    
SA101           101_431        09:57:37.322     -00:17:53.28    13.684   +1.246   +1.144   +0.808   +0.708   +1.517    23    13    0.0056    0.0063    0.0102    0.0033    0.0029    0.0042    
SA101           101_L6         09:57:39.54      -00:17:53.8     16.497   +0.711   +0.183   +0.445   +0.583   +1.024     2     1    0.0219    0.0092    0.0311    0.0113    0.1648    0.1732    
SA101           101_207        09:57:52.495     -00:47:36.17    12.421   +0.513   -0.080   +0.320   +0.323   +0.645    26    18    0.0016    0.0018    0.0039    0.0014    0.0016    0.0015    
SA101           101_363        09:58:18.722     -00:25:36.51     9.874   +0.260   +0.132   +0.146   +0.151   +0.297    57    48    0.0010    0.0006    0.0016    0.0007    0.0007    0.0010    
GD_108          GD_108A        10:00:39.585     -07:33:25.10    13.881   +0.789   +0.316   +0.458   +0.449   +0.909    15     8    0.0018    0.0032    0.0066    0.0010    0.0011    0.0011    
GD_108          GD_108B        10:00:42.665     -07:31:07.90    15.056   +0.839   +0.364   +0.463   +0.466   +0.924    20     9    0.0019    0.0043    0.0092    0.0029    0.0022    0.0048    
GD_108          GD_108         10:00:47.25      -07:33:31.0     13.563   -0.214   -0.943   -0.099   -0.118   -0.218    22    13    0.0025    0.0038    0.0039    0.0024    0.0026    0.0026    
GD_108          GD_108C        10:00:55.223     -07:30:29.59    13.819   +0.786   +0.345   +0.435   +0.393   +0.825    16     9    0.0011    0.0034    0.0037    0.0031    0.0020    0.0043    
GD_108          GD_108D        10:00:55.916     -07:34:51.83    14.235   +0.641   +0.078   +0.372   +0.357   +0.731    16     8    0.0010    0.0020    0.0050    0.0022    0.0042    0.0034    
-               BD_+1_2447     10:28:55.551     +00:50:27.56     9.650   +1.501   +1.238   +1.033   +1.225   +2.261    24    14    0.0027    0.0046    0.0082    0.0024    0.0016    0.0030    
